LabelValue,Name,Color_R,Color_G,Color_B,Color_A,Category_CodingScheme,Category_CodeValue,Category_CodeMeaning,Type_CodingScheme,Type_CodeValue,Type_CodeMeaning,TypeModifier_CodingScheme,TypeModifier_CodeValue,TypeModifier_CodeMeaning,Region_CodingScheme,Region_CodeValue,Region_CodeMeaning,RegionModifier_CodingScheme,RegionModifier_CodeValue,RegionModifier_CodeMeaning
1,lumbar vertebra 1,230,159,0,255,SCT,123037004,Anatomical Structure,UBERON,0004646,lumbar vertebra 1,,,,,,,,,
2,lumbar vertebra 2,86,180,233,255,SCT,123037004,Anatomical Structure,UBERON,0004647,lumbar vertebra 2,,,,,,,,,
3,lumbar vertebra 3,0,158,115,255,SCT,123037004,Anatomical Structure,UBERON,0004648,lumbar vertebra 3,,,,,,,,,
4,lumbar vertebra 4,240,228,66,255,SCT,123037004,Anatomical Structure,UBERON,0004649,lumbar vertebra 4,,,,,,,,,
5,lumbar vertebra 5,204,121,167,255,SCT,123037004,Anatomical Structure,UBERON,0004650,lumbar vertebra 5,,,,,,,,,
6,sacrum,213,94,0,255,SCT,123037004,Anatomical Structure,UBERON,0003690,sacrum,,,,,,,,,
7,coccyx,0,114,178,255,SCT,123037004,Anatomical Structure,UBERON,0001027,coccyx,,,,,,,,,
8,left ilium,230,159,0,255,SCT,123037004,Anatomical Structure,UBERON,0001273,ilium,,,,,,,,,
9,right ilium,230,159,0,255,SCT,123037004,Anatomical Structure,UBERON,0001273,ilium,,,,,,,,,
10,left ischium,86,180,233,255,SCT,123037004,Anatomical Structure,UBERON,0001274,ischium,,,,,,,,,
11,right ischium,86,180,233,255,SCT,123037004,Anatomical Structure,UBERON,0001274,ischium,,,,,,,,,
12,left pubis,0,158,115,255,SCT,123037004,Anatomical Structure,UBERON,0001275,pubis,,,,,,,,,
13,right pubis,0,158,115,255,SCT,123037004,Anatomical Structure,UBERON,0001275,pubis,,,,,,,,,
14,left femur,213,94,0,255,SCT,123037004,Anatomical Structure,UBERON,0000981,femur,,,,,,,,,
15,right femur,213,94,0,255,SCT,123037004,Anatomical Structure,UBERON,0000981,femur,,,,,,,,,
16,left patella,204,121,167,255,SCT,123037004,Anatomical Structure,UBERON,0002446,patella,,,,,,,,,
17,right patella,204,121,167,255,SCT,123037004,Anatomical Structure,UBERON,0002446,patella,,,,,,,,,
18,left tibia,0,114,178,255,SCT,123037004,Anatomical Structure,UBERON,0000979,tibia,,,,,,,,,
19,right tibia,0,114,178,255,SCT,123037004,Anatomical Structure,UBERON,0000979,tibia,,,,,,,,,
20,left fibula,240,228,66,255,SCT,123037004,Anatomical Structure,UBERON,0001446,fibula,,,,,,,,,
21,right fibula,240,228,66,255,SCT,123037004,Anatomical Structure,UBERON,0001446,fibula,,,,,,,,,
22,left talus,230,159,0,255,SCT,123037004,Anatomical Structure,UBERON,0002395,talus,,,,,,,,,
23,right talus,230,159,0,255,SCT,123037004,Anatomical Structure,UBERON,0002395,talus,,,,,,,,,
24,left calcaneus,213,94,0,255,SCT,123037004,Anatomical Structure,UBERON,0001450,calcaneus,,,,,,,,,
25,right calcaneus,213,94,0,255,SCT,123037004,Anatomical Structure,UBERON,0001450,calcaneus,,,,,,,,,
26,left navicular bone of pes,86,180,233,255,SCT,123037004,Anatomical Structure,UBERON,0001455,navicular bone of pes,,,,,,,,,
27,right navicular bone of pes,86,180,233,255,SCT,123037004,Anatomical Structure,UBERON,0001455,navicular bone of pes,,,,,,,,,
28,left cuboid bone,0,158,115,255,SCT,123037004,Anatomical Structure,UBERON,0001449,cuboid bone,,,,,,,,,
29,right cuboid bone,0,158,115,255,SCT,123037004,Anatomical Structure,UBERON,0001449,cuboid bone,,,,,,,,,
30,left medial cuneiform bone,204,121,167,255,SCT,123037004,Anatomical Structure,UBERON,0001453,medial cuneiform bone,,,,,,,,,
31,right medial cuneiform bone,204,121,167,255,SCT,123037004,Anatomical Structure,UBERON,0001453,medial cuneiform bone,,,,,,,,,
32,left intermediate cuneiform bone,240,228,66,255,SCT,123037004,Anatomical Structure,UBERON,0001452,intermediate cuneiform bone,,,,,,,,,
33,right intermediate cuneiform bone,240,228,66,255,SCT,123037004,Anatomical Structure,UBERON,0001452,intermediate cuneiform bone,,,,,,,,,
34,left lateral cuneiform bone,0,114,178,255,SCT,123037004,Anatomical Structure,UBERON,0001451,lateral cuneiform bone,,,,,,,,,
35,right lateral cuneiform bone,0,114,178,255,SCT,123037004,Anatomical Structure,UBERON,0001451,lateral cuneiform bone,,,,,,,,,
36,left metatarsal bone 1,230,159,0,255,SCT,123037004,Anatomical Structure,UBERON,0003656,metatarsal bone 1,,,,,,,,,
37,right metatarsal bone 1,230,159,0,255,SCT,123037004,Anatomical Structure,UBERON,0003656,metatarsal bone 1,,,,,,,,,
38,left metatarsal bone 2,213,94,0,255,SCT,123037004,Anatomical Structure,UBERON,0003657,metatarsal bone 2,,,,,,,,,
39,right metatarsal bone 2,213,94,0,255,SCT,123037004,Anatomical Structure,UBERON,0003657,metatarsal bone 2,,,,,,,,,
40,left metatarsal bone 3,86,180,233,255,SCT,123037004,Anatomical Structure,UBERON,0003658,metatarsal bone 3,,,,,,,,,
41,right metatarsal bone 3,86,180,233,255,SCT,123037004,Anatomical Structure,UBERON,0003658,metatarsal bone 3,,,,,,,,,
42,left metatarsal bone 4,0,158,115,255,SCT,123037004,Anatomical Structure,UBERON,0003659,metatarsal bone 4,,,,,,,,,
43,right metatarsal bone 4,0,158,115,255,SCT,123037004,Anatomical Structure,UBERON,0003659,metatarsal bone 4,,,,,,,,,
44,left metatarsal bone 5,204,121,167,255,SCT,123037004,Anatomical Structure,UBERON,0003660,metatarsal bone 5,,,,,,,,,
45,right metatarsal bone 5,204,121,167,255,SCT,123037004,Anatomical Structure,UBERON,0003660,metatarsal bone 5,,,,,,,,,
46,left proximal phalanx of pedal digit 1,240,228,66,255,SCT,123037004,Anatomical Structure,UBERON,0003636,proximal phalanx of pedal digit 1,,,,,,,,,
47,right proximal phalanx of pedal digit 1,240,228,66,255,SCT,123037004,Anatomical Structure,UBERON,0003636,proximal phalanx of pedal digit 1,,,,,,,,,
48,left distal phalanx of pedal digit 1,0,114,178,255,SCT,123037004,Anatomical Structure,UBERON,0003646,distal phalanx of pedal digit 1,,,,,,,,,
49,right distal phalanx of pedal digit 1,0,114,178,255,SCT,123037004,Anatomical Structure,UBERON,0003646,distal phalanx of pedal digit 1,,,,,,,,,
50,left proximal phalanx of pedal digit 2,230,159,0,255,SCT,123037004,Anatomical Structure,UBERON,0003637,proximal phalanx of pedal digit 2,,,,,,,,,
51,right proximal phalanx of pedal digit 2,230,159,0,255,SCT,123037004,Anatomical Structure,UBERON,0003637,proximal phalanx of pedal digit 2,,,,,,,,,
52,left middle phalanx of pedal digit 2,213,94,0,255,SCT,123037004,Anatomical Structure,UBERON,0003641,middle phalanx of pedal digit 2,,,,,,,,,
53,right middle phalanx of pedal digit 2,213,94,0,255,SCT,123037004,Anatomical Structure,UBERON,0003641,middle phalanx of pedal digit 2,,,,,,,,,
54,left distal phalanx of pedal digit 2,86,180,233,255,SCT,123037004,Anatomical Structure,UBERON,0003647,distal phalanx of pedal digit 2,,,,,,,,,
55,right distal phalanx of pedal digit 2,86,180,233,255,SCT,123037004,Anatomical Structure,UBERON,0003647,distal phalanx of pedal digit 2,,,,,,,,,
56,left proximal phalanx of pedal digit 3,204,121,167,255,SCT,123037004,Anatomical Structure,UBERON,0003638,proximal phalanx of pedal digit 3,,,,,,,,,
57,right proximal phalanx of pedal digit 3,204,121,167,255,SCT,123037004,Anatomical Structure,UBERON,0003638,proximal phalanx of pedal digit 3,,,,,,,,,
58,left middle phalanx of pedal digit 3,240,228,66,255,SCT,123037004,Anatomical Structure,UBERON,0003642,middle phalanx of pedal digit 3,,,,,,,,,
59,right middle phalanx of pedal digit 3,240,228,66,255,SCT,123037004,Anatomical Structure,UBERON,0003642,middle phalanx of pedal digit 3,,,,,,,,,
60,left distal phalanx of pedal digit 3,0,114,178,255,SCT,123037004,Anatomical Structure,UBERON,0003648,distal phalanx of pedal digit 3,,,,,,,,,
61,right distal phalanx of pedal digit 3,0,114,178,255,SCT,123037004,Anatomical Structure,UBERON,0003648,distal phalanx of pedal digit 3,,,,,,,,,
62,left proximal phalanx of pedal digit 4,230,159,0,255,SCT,123037004,Anatomical Structure,UBERON,0003639,proximal phalanx of pedal digit 4,,,,,,,,,
63,right proximal phalanx of pedal digit 4,230,159,0,255,SCT,123037004,Anatomical Structure,UBERON,0003639,proximal phalanx of pedal digit 4,,,,,,,,,
64,left middle phalanx of pedal digit 4,213,94,0,255,SCT,123037004,Anatomical Structure,UBERON,0003643,middle phalanx of pedal digit 4,,,,,,,,,
65,right middle phalanx of pedal digit 4,213,94,0,255,SCT,123037004,Anatomical Structure,UBERON,0003643,middle phalanx of pedal digit 4,,,,,,,,,
66,left distal phalanx of pedal digit 4,86,180,233,255,SCT,123037004,Anatomical Structure,UBERON,0003649,distal phalanx of pedal digit 4,,,,,,,,,
67,right distal phalanx of pedal digit 4,86,180,233,255,SCT,123037004,Anatomical Structure,UBERON,0003649,distal phalanx of pedal digit 4,,,,,,,,,
68,left proximal phalanx of pedal digit 5,204,121,167,255,SCT,123037004,Anatomical Structure,UBERON,0003640,proximal phalanx of pedal digit 5,,,,,,,,,
69,right proximal phalanx of pedal digit 5,204,121,167,255,SCT,123037004,Anatomical Structure,UBERON,0003640,proximal phalanx of pedal digit 5,,,,,,,,,
70,left middle phalanx of pedal digit 5,240,228,66,255,SCT,123037004,Anatomical Structure,UBERON,0003644,middle phalanx of pedal digit 5,,,,,,,,,
71,right middle phalanx of pedal digit 5,240,228,66,255,SCT,123037004,Anatomical Structure,UBERON,0003644,middle phalanx of pedal digit 5,,,,,,,,,
72,left distal phalanx of pedal digit 5,0,114,178,255,SCT,123037004,Anatomical Structure,UBERON,0003650,distal phalanx of pedal digit 5,,,,,,,,,
73,right distal phalanx of pedal digit 5,0,114,178,255,SCT,123037004,Anatomical Structure,UBERON,0003650,distal phalanx of pedal digit 5,,,,,,,,,
